Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),Var1,Var2,Var3,Country,"Concrete compressive strength(MPa, megapascals) "
198.6,132.4,0,192,0,978.4,825.5,3,2,0,2,Brazil,9.13
304,76,0,228,0,932,670,180,2,0,3,Brazil,50.95
332.5,142.5,0,228,0,932,594,28,2,0,3,Brazil,33.02
304,76,0,228,0,932,670,270,2,0,2,Brazil,54.38
266,114,0,228,0,932,670,270,2,0,3,Brazil,51.73
310,0,0,192,0,971,850.6,3,2,1,2,Brazil,9.87
190,190,0,228,0,932,670,270,1,1,3,Brazil,50.66
266,114,0,228,0,932,670,180,1,1,2,Brazil,48.7
342,38,0,228,0,932,670,270,1,0,2,Brazil,55.06
139.6,209.4,0,192,0,1047,806.9,360,1,0,3,Brazil,44.7
332.5,142.5,0,228,0,932,594,7,1,0,2,Brazil,30.28
190,190,0,228,0,932,670,28,2,1,3,Brazil,40.86
485,0,0,146,0,1120,800,28,1,0,3,Brazil,71.99
374,189.2,0,170.1,10.1,926.1,756.7,3,1,1,2,Brazil,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,2,1,2,Brazil,28.8
425,106.3,0,153.5,16.5,852.1,887.1,3,1,1,3,Brazil,33.4
425,106.3,0,151.4,18.6,936,803.7,3,1,0,2,Brazil,36.3
375,93.8,0,126.6,23.4,852.1,992.6,3,1,1,2,Brazil,29
475,118.8,0,181.1,8.9,852.1,781.5,3,2,0,3,Brazil,37.8
469,117.2,0,137.8,32.2,852.1,840.5,3,2,1,2,Brazil,40.2
425,106.3,0,153.5,16.5,852.1,887.1,3,1,1,2,Brazil,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,2,0,2,Brazil,28.1
531.3,0,0,141.8,28.2,852.1,893.7,3,1,1,2,Brazil,41.3
425,106.3,0,153.5,16.5,852.1,887.1,3,1,1,2,Brazil,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,1,1,3,Brazil,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,1,0,3,Brazil,41.1
362.6,189,0,164.9,11.6,944.7,755.8,3,1,0,2,Brazil,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,1,0,2,Brazil,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,3,2,0,3,Brazil,28.6
362.6,189,0,164.9,11.6,944.7,755.8,3,1,1,2,Brazil,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,1,1,2,Brazil,24.4
362.6,189,0,164.9,11.6,944.7,755.8,3,1,1,3,Brazil,35.3
439,177,0,186,11.1,884.9,707.9,3,2,0,2,Brazil,39.3
389.9,189,0,145.9,22,944.7,755.8,3,1,1,2,Brazil,40.6
362.6,189,0,164.9,11.6,944.7,755.8,3,2,1,2,Brazil,35.3
337.9,189,0,174.9,9.5,944.7,755.8,3,1,0,2,Brazil,24.1
374,189.2,0,170.1,10.1,926.1,756.7,7,1,0,2,Brazil,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,2,0,2,Brazil,42.8
425,106.3,0,153.5,16.5,852.1,887.1,7,2,0,2,Brazil,49.2
425,106.3,0,151.4,18.6,936,803.7,7,1,0,3,Brazil,46.8
375,93.8,0,126.6,23.4,852.1,992.6,7,2,0,3,Brazil,45.7
475,118.8,0,181.1,8.9,852.1,781.5,7,2,0,2,Brazil,55.6
469,117.2,0,137.8,32.2,852.1,840.5,7,1,0,2,Brazil,54.9
425,106.3,0,153.5,16.5,852.1,887.1,7,1,1,3,Brazil,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,7,2,1,3,Brazil,34.9
531.3,0,0,141.8,28.2,852.1,893.7,7,2,0,2,Brazil,46.9
425,106.3,0,153.5,16.5,852.1,887.1,7,2,1,2,Brazil,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,7,1,0,2,Brazil,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,2,1,3,Brazil,54.1
362.6,189,0,164.9,11.6,944.7,755.8,7,2,1,2,Brazil,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,1,0,3,Brazil,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,7,1,1,2,Brazil,47.1
362.6,189,0,164.9,11.6,944.7,755.8,7,1,0,3,Brazil,55.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,2,0,3,Brazil,38
362.6,189,0,164.9,11.6,944.7,755.8,7,1,0,2,Brazil,55.9
439,177,0,186,11.1,884.9,707.9,7,2,0,3,Brazil,56.1
389.9,189,0,145.9,22,944.7,755.8,7,1,1,2,Brazil,59.09
362.6,189,0,164.9,11.6,944.7,755.8,7,1,0,3,Brazil,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,1,0,3,Brazil,35.1
374,189.2,0,170.1,10.1,926.1,756.7,28,1,1,3,Brazil,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,2,1,2,Brazil,59.8
425,106.3,0,153.5,16.5,852.1,887.1,28,2,1,2,Brazil,60.29
425,106.3,0,151.4,18.6,936,803.7,28,2,1,3,Brazil,61.8
375,93.8,0,126.6,23.4,852.1,992.6,28,2,0,2,Brazil,56.7
475,118.8,0,181.1,8.9,852.1,781.5,28,1,0,2,Brazil,68.3
469,117.2,0,137.8,32.2,852.1,840.5,28,2,0,2,Brazil,66.9
425,106.3,0,153.5,16.5,852.1,887.1,28,1,0,2,Brazil,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,28,2,1,3,Brazil,50.7
531.3,0,0,141.8,28.2,852.1,893.7,28,1,0,3,Brazil,56.4
425,106.3,0,153.5,16.5,852.1,887.1,28,2,1,3,Brazil,60.29
318.8,212.5,0,155.7,14.3,852.1,880.4,28,2,1,3,Brazil,55.5
401.8,94.7,0,147.4,11.4,946.8,852.1,28,1,1,3,Brazil,68.5
362.6,189,0,164.9,11.6,944.7,755.8,28,1,0,3,Brazil,71.3
323.7,282.8,0,183.8,10.3,942.7,659.9,28,2,1,2,Brazil,74.7
379.5,151.2,0,153.9,15.9,1134.3,605,28,2,1,2,Brazil,52.2
362.6,189,0,164.9,11.6,944.7,755.8,28,1,1,3,Brazil,71.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,2,1,3,Brazil,67.7
362.6,189,0,164.9,11.6,944.7,755.8,28,1,0,3,Brazil,71.3
439,177,0,186,11.1,884.9,707.9,28,1,0,3,Brazil,66
389.9,189,0,145.9,22,944.7,755.8,28,2,1,2,Brazil,74.5
362.6,189,0,164.9,11.6,944.7,755.8,28,2,1,2,Brazil,71.3
337.9,189,0,174.9,9.5,944.7,755.8,28,2,0,2,Brazil,49.9
374,189.2,0,170.1,10.1,926.1,756.7,56,2,0,3,Brazil,63.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,2,1,2,Brazil,64.9
425,106.3,0,153.5,16.5,852.1,887.1,56,2,0,3,Brazil,64.3
425,106.3,0,151.4,18.6,936,803.7,56,1,0,3,Brazil,64.9
375,93.8,0,126.6,23.4,852.1,992.6,56,1,0,3,Brazil,60.2
475,118.8,0,181.1,8.9,852.1,781.5,56,1,1,2,Brazil,72.3
469,117.2,0,137.8,32.2,852.1,840.5,56,2,0,2,Brazil,69.3
425,106.3,0,153.5,16.5,852.1,887.1,56,1,1,2,Brazil,64.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,2,0,3,Brazil,55.2
531.3,0,0,141.8,28.2,852.1,893.7,56,1,1,2,Brazil,58.8
425,106.3,0,153.5,16.5,852.1,887.1,56,1,1,2,Brazil,64.3
318.8,212.5,0,155.7,14.3,852.1,880.4,56,1,1,3,Brazil,66.1
401.8,94.7,0,147.4,11.4,946.8,852.1,56,1,0,3,Brazil,73.7
362.6,189,0,164.9,11.6,944.7,755.8,56,2,0,2,Brazil,77.3
323.7,282.8,0,183.8,10.3,942.7,659.9,56,2,1,2,Brazil,80.2
379.5,151.2,0,153.9,15.9,1134.3,605,56,1,0,2,Brazil,54.9
362.6,189,0,164.9,11.6,944.7,755.8,56,2,0,3,Brazil,77.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,1,1,2,Brazil,72.99
362.6,189,0,164.9,11.6,944.7,755.8,56,1,1,2,Brazil,77.3
439,177,0,186,11.1,884.9,707.9,56,1,1,2,Brazil,71.7
389.9,189,0,145.9,22,944.7,755.8,56,2,0,3,Brazil,79.4
362.6,189,0,164.9,11.6,944.7,755.8,56,2,1,2,Brazil,77.3
337.9,189,0,174.9,9.5,944.7,755.8,56,2,0,2,Brazil,59.89
374,189.2,0,170.1,10.1,926.1,756.7,91,2,1,2,Brazil,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,2,0,2,Brazil,66.6
425,106.3,0,153.5,16.5,852.1,887.1,91,1,0,2,Brazil,65.2
425,106.3,0,151.4,18.6,936,803.7,91,1,1,2,Brazil,66.7
375,93.8,0,126.6,23.4,852.1,992.6,91,2,1,2,Brazil,62.5
475,118.8,0,181.1,8.9,852.1,781.5,91,1,0,3,Brazil,74.19
469,117.2,0,137.8,32.2,852.1,840.5,91,2,1,2,Brazil,70.7
425,106.3,0,153.5,16.5,852.1,887.1,91,1,0,3,Brazil,65.2
388.6,97.1,0,157.9,12.1,852.1,925.7,91,2,1,3,Brazil,57.6
531.3,0,0,141.8,28.2,852.1,893.7,91,2,1,3,Brazil,59.2
425,106.3,0,153.5,16.5,852.1,887.1,91,1,0,2,Brazil,65.2
318.8,212.5,0,155.7,14.3,852.1,880.4,91,1,0,3,Brazil,68.1
401.8,94.7,0,147.4,11.4,946.8,852.1,91,2,0,3,Brazil,75.5
362.6,189,0,164.9,11.6,944.7,755.8,91,1,0,3,Brazil,79.3
379.5,151.2,0,153.9,15.9,1134.3,605,91,2,0,2,Brazil,56.5
362.6,189,0,164.9,11.6,944.7,755.8,91,1,0,3,Brazil,79.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,1,1,3,Brazil,76.8
362.6,189,0,164.9,11.6,944.7,755.8,91,1,0,2,Brazil,79.3
439,177,0,186,11.1,884.9,707.9,91,1,1,3,Brazil,73.3
389.9,189,0,145.9,22,944.7,755.8,91,1,1,3,Brazil,82.6
362.6,189,0,164.9,11.6,944.7,755.8,91,1,1,2,Brazil,79.3
337.9,189,0,174.9,9.5,944.7,755.8,91,1,1,2,Brazil,67.8
222.4,0,96.7,189.3,4.5,967.1,870.3,3,2,0,2,Brazil,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,2,0,3,Brazil,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,28,1,0,2,Brazil,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,56,2,1,2,Brazil,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,100,1,0,3,Brazil,40.71
233.8,0,94.6,197.9,4.6,947,852.2,3,1,1,2,Brazil,10.38
233.8,0,94.6,197.9,4.6,947,852.2,14,1,0,2,Brazil,22.14
233.8,0,94.6,197.9,4.6,947,852.2,28,1,1,3,Brazil,22.84
233.8,0,94.6,197.9,4.6,947,852.2,56,2,1,3,Brazil,27.66
233.8,0,94.6,197.9,4.6,947,852.2,100,1,0,3,Brazil,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,2,1,3,Brazil,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,1,0,2,Brazil,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,1,1,2,Brazil,25.72
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,1,1,3,Brazil,33.96
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,2,1,2,Brazil,37.34
190.7,0,125.4,162.1,7.8,1090,804,3,1,0,2,Brazil,15.04
190.7,0,125.4,162.1,7.8,1090,804,14,1,1,2,Brazil,21.06
190.7,0,125.4,162.1,7.8,1090,804,28,1,1,2,Brazil,26.4
190.7,0,125.4,162.1,7.8,1090,804,56,2,1,3,Brazil,35.34
190.7,0,125.4,162.1,7.8,1090,804,100,2,0,3,Brazil,40.57
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,2,0,2,Brazil,12.47
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,1,1,2,Brazil,20.92
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,1,1,2,Brazil,24.9
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,2,0,3,Brazil,34.2
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,2,1,2,Brazil,39.61
230,0,118.3,195.5,4.6,1029.4,758.6,3,1,0,2,Brazil,10.03
230,0,118.3,195.5,4.6,1029.4,758.6,14,2,1,2,Brazil,20.08
230,0,118.3,195.5,4.6,1029.4,758.6,28,2,0,2,Brazil,24.48
230,0,118.3,195.5,4.6,1029.4,758.6,56,1,1,3,Brazil,31.54
230,0,118.3,195.5,4.6,1029.4,758.6,100,2,1,2,Brazil,35.34
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,2,0,2,Brazil,9.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,1,1,2,Brazil,22.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,1,0,3,Brazil,28.47
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,1,1,2,Brazil,38.56
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,1,0,2,Brazil,40.39
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,1,1,3,Brazil,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,1,0,2,Brazil,25.48
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,1,0,2,Brazil,21.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,1,0,2,Brazil,28.63
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,1,1,3,Brazil,33.54
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,1,0,2,Brazil,7.75
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,2,0,3,Brazil,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,2,0,2,Brazil,24.24
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,2,0,3,Brazil,32.85
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,1,0,2,Brazil,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,2,1,3,Brazil,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,2,1,2,Brazil,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,1,0,3,Brazil,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,1,1,2,Brazil,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,2,1,2,Brazil,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,1,0,3,Brazil,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,1,0,3,Brazil,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,2,0,3,Brazil,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,2,1,3,Brazil,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,2,1,3,Brazil,49.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,1,1,2,Brazil,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,1,1,3,Brazil,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,1,0,3,Brazil,24.54
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,1,1,2,Brazil,31.35
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,2,0,2,Brazil,40.86
238.1,0,94.1,186.7,7,949.9,847,3,1,1,2,Brazil,19.93
238.1,0,94.1,186.7,7,949.9,847,14,2,1,2,Brazil,25.69
238.1,0,94.1,186.7,7,949.9,847,28,2,0,2,Brazil,30.23
238.1,0,94.1,186.7,7,949.9,847,56,1,1,2,Brazil,39.59
238.1,0,94.1,186.7,7,949.9,847,100,2,0,3,Brazil,44.3
250,0,95.7,187.4,5.5,956.9,861.2,3,2,0,2,Brazil,13.82
250,0,95.7,187.4,5.5,956.9,861.2,14,1,0,2,Brazil,24.92
250,0,95.7,187.4,5.5,956.9,861.2,28,2,0,2,Brazil,29.22
250,0,95.7,187.4,5.5,956.9,861.2,56,2,1,3,Brazil,38.33
250,0,95.7,187.4,5.5,956.9,861.2,100,1,0,2,Brazil,42.35
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,2,1,3,Brazil,13.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,2,1,2,Brazil,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,2,0,3,Brazil,31.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,1,1,3,Brazil,42.55
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,1,1,3,Brazil,42.92
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,2,0,2,Brazil,13.33
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,2,1,2,Brazil,25.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,2,1,3,Brazil,37.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,1,1,2,Brazil,44.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,2,1,3,Brazil,47.74
212,0,124.8,159,7.8,1085.4,799.5,3,2,0,3,Brazil,19.52
212,0,124.8,159,7.8,1085.4,799.5,14,1,1,2,Brazil,31.35
212,0,124.8,159,7.8,1085.4,799.5,28,2,1,3,Brazil,38.5
212,0,124.8,159,7.8,1085.4,799.5,56,2,0,3,Brazil,45.08
212,0,124.8,159,7.8,1085.4,799.5,100,1,1,2,Brazil,47.82
231.8,0,121.6,174,6.7,1056.4,778.5,3,1,0,3,Brazil,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,14,1,0,3,Brazil,26.77
231.8,0,121.6,174,6.7,1056.4,778.5,28,2,1,3,Brazil,33.73
231.8,0,121.6,174,6.7,1056.4,778.5,56,1,1,3,Brazil,42.7
231.8,0,121.6,174,6.7,1056.4,778.5,100,2,0,2,Brazil,45.84
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,2,1,2,Brazil,17.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,2,0,2,Brazil,29.93
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,1,0,2,Brazil,29.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,2,1,2,Brazil,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,1,1,3,Brazil,43.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,1,0,2,Brazil,13.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,2,0,3,Brazil,24.43
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,1,0,3,Brazil,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,2,0,2,Brazil,36.64
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,1,0,2,Brazil,44.21
181.4,0,167,169.6,7.6,1055.6,777.8,3,2,0,3,Brazil,13.62
181.4,0,167,169.6,7.6,1055.6,777.8,14,1,0,3,Brazil,21.6
181.4,0,167,169.6,7.6,1055.6,777.8,28,2,1,3,Brazil,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,56,2,0,3,Brazil,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,100,1,0,3,Brazil,45.37
182,45.2,122,170.2,8.2,1059.4,780.7,3,1,1,3,Brazil,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,14,1,0,3,Brazil,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,28,1,0,2,Brazil,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,56,2,1,2,Brazil,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,100,1,0,2,Brazil,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,2,1,3,Brazil,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,1,0,2,Brazil,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,1,1,3,Brazil,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,1,0,3,Brazil,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,1,0,3,Brazil,48.15
290.4,0,96.2,168.1,9.4,961.2,865,3,1,1,2,Brazil,22.5
290.4,0,96.2,168.1,9.4,961.2,865,14,2,0,3,Brazil,34.67
290.4,0,96.2,168.1,9.4,961.2,865,28,2,1,2,Brazil,34.74
290.4,0,96.2,168.1,9.4,961.2,865,56,1,1,2,Brazil,45.08
290.4,0,96.2,168.1,9.4,961.2,865,100,1,0,2,Brazil,48.97
277.1,0,97.4,160.6,11.8,973.9,875.6,3,2,1,2,Brazil,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,14,2,0,3,Brazil,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,1,1,2,Brazil,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,56,1,1,2,Brazil,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,100,1,1,2,Brazil,55.64
295.7,0,95.6,171.5,8.9,955.1,859.2,3,2,1,2,Brazil,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,14,1,1,2,Brazil,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,28,2,0,3,Brazil,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,56,1,1,3,Brazil,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,100,1,0,3,Brazil,52.04
251.8,0,99.9,146.1,12.4,1006,899.8,3,1,0,2,Brazil,21.02
251.8,0,99.9,146.1,12.4,1006,899.8,14,2,1,3,Brazil,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,28,1,0,2,Brazil,33.94
251.8,0,99.9,146.1,12.4,1006,899.8,56,1,1,3,Brazil,44.14
251.8,0,99.9,146.1,12.4,1006,899.8,100,1,1,3,Brazil,45.37
249.1,0,98.8,158.1,12.8,987.8,889,3,2,0,2,Brazil,15.36
249.1,0,98.8,158.1,12.8,987.8,889,14,2,1,3,Brazil,28.68
249.1,0,98.8,158.1,12.8,987.8,889,28,2,1,3,Brazil,30.85
249.1,0,98.8,158.1,12.8,987.8,889,56,2,0,2,Brazil,42.03
249.1,0,98.8,158.1,12.8,987.8,889,100,2,0,3,Brazil,51.06
252.3,0,98.8,146.3,14.2,987.8,889,3,1,0,2,Brazil,21.78
252.3,0,98.8,146.3,14.2,987.8,889,14,1,1,2,Brazil,42.29
252.3,0,98.8,146.3,14.2,987.8,889,28,2,1,3,Brazil,50.6
252.3,0,98.8,146.3,14.2,987.8,889,56,1,0,2,Brazil,55.83
252.3,0,98.8,146.3,14.2,987.8,889,100,1,1,2,Brazil,60.95
246.8,0,125.1,143.3,12,1086.8,800.9,3,1,1,2,Brazil,23.52
246.8,0,125.1,143.3,12,1086.8,800.9,14,2,1,3,Brazil,42.22
246.8,0,125.1,143.3,12,1086.8,800.9,28,2,1,3,Brazil,52.5
246.8,0,125.1,143.3,12,1086.8,800.9,56,1,0,3,Brazil,60.32
246.8,0,125.1,143.3,12,1086.8,800.9,100,1,0,2,Brazil,66.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,1,0,3,Brazil,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,1,1,2,Brazil,38.77
